tau,final_gini,avg_growth,final_productivity,innovations,median_income
0.0,0.7266530442290937,8.661217431829478,31.3249929270633,2897,9852.008022800188
0.049999999999999996,0.6601011450089309,9.748576407707457,35.722556723091934,3008,52498.63758655532
0.09999999999999999,0.5988201206702106,10.048250866108033,37.00456939777031,3038,95725.61599291542
0.15,0.547842939471221,9.336160166530169,31.781512659274316,2909,46344.82655654001
0.19999999999999998,0.5037140324685023,10.202036126825293,35.8379490181696,3011,117573.88117095527
0.24999999999999997,0.46207202587714113,9.713760747006107,36.43077555292662,3025,83272.28965621095
0.3,0.4250816407205782,9.161540420725379,32.23738760122027,2921,55571.081271750285
0.35,0.3931072982778461,9.472901153296826,35.49252177198764,3003,87767.15817570267
0.39999999999999997,0.36712642829354913,9.234164826482123,32.88393855568636,2938,58533.181948647645
0.44999999999999996,0.3416367704851395,9.869737633012804,37.69899509993934,3054,121655.78528799347
0.49999999999999994,0.32058881194354183,9.222316939205898,34.0395263124244,2967,61514.141800417536
0.5499999999999999,0.3017665495441273,9.272344551840986,33.860820474308035,2963,61784.96540123239
0.6,0.2844797148129441,9.207013604921638,35.0395383910031,2992,56176.59164956649
0.6499999999999999,0.2696293907994074,9.488760863411237,35.71035552259651,3008,72846.91562809177
0.7,0.25291840337124616,9.649916013463955,37.392494377567324,3047,102749.05746320568
0.7499999999999999,0.23908722581671693,8.788295298738252,32.761427697018284,2935,36479.11912403999
0.7999999999999999,0.22837461260575176,9.589855780289003,38.961481108477855,3082,95167.95468085883
0.85,0.21986472805956536,8.726950304551817,33.198845756732,2946,37658.98232681917
