rho,tau,cumulative_innovations_mean,cumulative_innovations_ci_lo,cumulative_innovations_ci_hi,innov_rate_late_mean,innov_rate_late_ci_lo,innov_rate_late_ci_hi,avg_growth_pct_mean,avg_growth_pct_ci_lo,avg_growth_pct_ci_hi,final_gini_wealth_mean,final_gini_wealth_ci_lo,final_gini_wealth_ci_hi,final_gini_income_mean,final_gini_income_ci_lo,final_gini_income_ci_hi,median_income_final_mean,median_income_final_ci_lo,median_income_final_ci_hi,lost_einstein_share_mean,lost_einstein_share_ci_lo,lost_einstein_share_ci_hi,poverty_gated_share_mean,poverty_gated_share_ci_lo,poverty_gated_share_ci_hi,eligible_share_mean,eligible_share_ci_lo,eligible_share_ci_hi,attempt_share_self_mean,attempt_share_self_ci_lo,attempt_share_self_ci_hi,attempt_share_credit_mean,attempt_share_credit_ci_lo,attempt_share_credit_ci_hi,attempt_share_public_mean,attempt_share_public_ci_lo,attempt_share_public_ci_hi,blocked_finance_mean,blocked_finance_ci_lo,blocked_finance_ci_hi,blocked_incentive_mean,blocked_incentive_ci_lo,blocked_incentive_ci_hi,mobility_rank_corr_mean,mobility_rank_corr_ci_lo,mobility_rank_corr_ci_hi,clamp_events_total_mean,clamp_events_total_ci_lo,clamp_events_total_ci_hi,markup_capped_share_mean,markup_capped_share_ci_lo,markup_capped_share_ci_hi,p_capped_share_mean,p_capped_share_ci_lo,p_capped_share_ci_hi,final_h_median_mean,final_h_median_ci_lo,final_h_median_ci_hi,n_replicates
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2017782440637772,0.16965889408537982,0.23389759404217458,0.8978701726718445,0.8874847174741393,0.9082556278695498,0.8233226408654404,0.8143232323087399,0.8323220494221408,0.3024595151071517,0.2945480957306126,0.3103709344836908,1.0,1.0,1.0,0.3622316666666667,0.3591611173793528,0.36530221595398055,0.13561966666666667,0.1321637245794825,0.13907560875385083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3333333333333335e-07,-3.200000000000001e-07,9.866666666666668e-07,0.13561933333333337,0.13216347347304497,0.13907519319362177,0.6567268607268608,0.6510791905164282,0.6623745309372935,0.0,0.0,0.0,0.0,0.0,0.0,0.00013333333333333337,9.60975068146154e-06,0.0002570569159852052,0.13998060918129582,0.13604821631818564,0.143913002044406,30
0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.1294501054823184,0.10805767799183869,0.1508425329727981,0.819291483624894,0.8034092790941553,0.8351736881556328,0.5676264437086325,0.5588754743901859,0.576377413027079,0.9362556648223403,0.9289448560448375,0.9435664735998432,1.0,1.0,1.0,0.17701399999999998,0.17336732524704,0.18066067475295997,0.18012499999999995,0.17752390554821115,0.18272609445178875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4333333333333336e-05,4.997924368729885e-06,2.3668742297936786e-05,0.18011066666666664,0.1775085185236985,0.18271281480963478,0.4000144932144932,0.3894567781558355,0.41057220827315094,0.0,0.0,0.0,0.0,0.0,0.0,0.00010000000000000003,-9.188858848106478e-06,0.00020918885884810653,0.4782096290649546,0.4742820209616676,0.48213723716824164,30
0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.06879034117420263,0.05825799501786744,0.07932268733053782,0.7644682903017707,0.7536656837712239,0.7752708968323174,0.40700117677650216,0.40133160237652954,0.4126707511764748,1.3413617767826562,1.3328432546432085,1.349880298922104,1.0,1.0,1.0,0.06793100000000002,0.06496285301077492,0.07089914698922511,0.3072266666666666,0.30315302816144757,0.3113003051718856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00011866666666666667,8.751669951355643e-05,0.00014981663381977693,0.307108,0.303026919902381,0.311189080097619,0.2929749713749714,0.28249535023828415,0.3034545925116587,0.0,0.0,0.0,0.0,0.0,0.0,0.0001666666666666667,3.102571623889139e-05,0.000302307617094442,0.7659363272262047,0.7627488934282285,0.769123761024181,30
0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.05555779052974699,0.04623258034015755,0.06488300071933643,0.7436392887263691,0.7257418806893239,0.7615366967634143,0.30734906427413883,0.3028602623253931,0.31183786622288456,1.6611733721868418,1.650654341923734,1.6716924024499495,1.0,1.0,1.0,0.012061666666666665,0.01075889208794125,0.01336444124539208,0.6951963333333333,0.6916108877158347,0.6987817789508319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002267666666666667,0.0021661361035841807,0.0023691972297491533,0.6929286666666667,0.6893515872943883,0.6965057460389452,0.2289802305802306,0.21920655663278293,0.23875390452767825,0.0,0.0,0.0,0.0,0.0,0.0,0.00020000000000000006,2.6719017631551085e-05,0.00037328098236844904,1.0291803144788214,1.0268270898234284,1.0315335391342144,30
0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.05071584427695367,0.043635332584797716,0.057796355969109627,0.6990129833201613,0.6879655087614562,0.7100604578788663,0.23517870349525272,0.23305041784386166,0.23730698914664378,1.9169069994101025,1.902520487521482,1.9312935112987228,1.0,1.0,1.0,0.00012433333333333334,3.2311489483115494e-05,0.0002163551771835512,0.9999640000000001,0.9998987866296765,1.0000292133703237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007945333333333334,0.007694004333779247,0.008196662332887421,0.9920186666666666,0.9917431830285963,0.9922941503047369,0.16277332797332797,0.15286030820839389,0.17268634773826205,0.0,0.0,0.0,0.0,0.0,0.0,3.333333333333334e-05,-3.2e-05,9.866666666666669e-05,1.2762887411238988,1.2744108155834193,1.2781666666643783,30
0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.06413198448267246,0.05673493812225323,0.0715290308430917,0.6898987751729153,0.6785870138150567,0.7012105365307739,0.18432064346514784,0.18265491246397217,0.18598637446632352,2.153047300509844,2.1413048479791854,2.1647897530405027,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005078000000000001,0.004910581303012032,0.00524541869698797,0.9949219999999998,0.9947545813030118,0.9950894186969877,0.12954196234196236,0.11810977223627322,0.1409741524476515,0.0,0.0,0.0,0.0,0.0,0.0,3.333333333333334e-05,-3.2e-05,9.866666666666669e-05,1.5101115779132497,1.5087590805235807,1.5114640753029187,30
0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.07145477501020407,0.06307845490243527,0.07983109511797287,0.6810576698189944,0.6648412787924161,0.6972740608455728,0.13992637700034177,0.13847266449355508,0.14138008950712846,2.357555334120202,2.338645466071112,2.3764652021692916,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003367000000000001,0.0032494557718456005,0.0034845442281544016,0.9966329999999999,0.9965154557718455,0.9967505442281542,0.0839096039096039,0.07292036655292493,0.09489884126628288,0.0,0.0,0.0,0.0,0.0,0.0,6.666666666666668e-05,-2.4121622280541096e-05,0.00015745495561387445,1.7418129168537366,1.7402749284034371,1.7433509053040361,30
0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1727005388699618,0.15415427299338197,0.19124680474654165,0.8940671871852448,0.8871986739341038,0.9009357004363858,0.8138670954456646,0.8075785691747351,0.8201556217165941,0.3086283604553224,0.30285728067491063,0.31439944023573413,1.0,1.0,1.0,0.363774,0.3613520129465232,0.3661959870534768,0.13843599999999998,0.13568582898042494,0.141186171019575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13843599999999998,0.13568582898042494,0.141186171019575,0.6601977593977595,0.6529032257281029,0.6674922930674161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14373714515348476,0.14046224699945214,0.14701204330751738,30
0.5,0.1,130.66666666666666,101.52215119778798,159.81118213554535,0.7156666666666668,0.5610226100355081,0.8703107232978254,0.11452242395601646,0.09681421664837837,0.13223063126365456,0.8066281562265591,0.7949467815164324,0.8183095309366859,0.5645496886090288,0.5563041583399824,0.5727952188780752,0.9339490047413265,0.9250632305732035,0.9428347789094494,0.9810333333333333,0.9771095128196305,0.9849571538470361,0.17565833333333333,0.1716107681259771,0.17970589854068958,0.17909500000000003,0.17607993042146586,0.1821100695785342,0.0,0.0,0.0,0.0,0.0,0.0,0.0018966666666666674,0.001504284615296389,0.002289048718036946,1.0333333333333335e-05,3.857703095805865e-06,1.6808963570860806e-05,0.17718799999999996,0.1740388695243742,0.18033713047562572,0.3993202233202234,0.39108184115869377,0.407558605481753,0.0,0.0,0.0,0.0,0.0,0.0,6.666666666666668e-05,-2.4121622280541096e-05,0.00015745495561387445,0.47693726640850664,0.47276565741727333,0.48110887539973995,30
0.5,0.2,74.63333333333334,49.10442648254616,100.16224018412052,0.39733333333333326,0.261745781694597,0.5329208849720695,0.0793132178554635,0.07175631289365883,0.08687012281726816,0.7547710910158223,0.7442958330299284,0.7652463490017162,0.4044919898043896,0.40047548013264056,0.40850849947613865,1.3584941273527162,1.3468793023592074,1.370108952346225,0.9909299999999999,0.9879378629501545,0.9939221370498452,0.070532,0.06662238786350841,0.07444161213649159,0.30987766666666666,0.3060010427961754,0.3137542905371579,0.0,0.0,0.0,0.0,0.0,0.0,0.0009070000000000003,0.0006077862950154613,0.0012062137049845393,0.00010600000000000002,8.433274327947576e-05,0.00012766725672052427,0.3088646666666667,0.3049665394782705,0.31276279385506284,0.29228159788159797,0.2835580857043146,0.3010051100588813,0.0,0.0,0.0,0.0,0.0,0.0,0.00013333333333333337,9.60975068146154e-06,0.0002570569159852052,0.7695451678748991,0.7666187898278168,0.7724715459219814,30
